dataset;accuracy;precision;f1/dice;jaccard;sensitivity/recall;specificity
022-ORCA512-BCELoss-random9;0,8535760498046875;0,7293891311669186;0,6956191799053107;0,5626458147409129;0,7214352622421677;0,9137886850630952
023-ORCA512-BCELoss-random8;0,858690299987793;0,7167336811137506;0,7134062074064466;0,5833331748491435;0,7689565383290019;0,8988487840129826
024-ORCA512-BCELoss-random9;0,8601278686523437;0,7142316756152325;0,7252515254986737;0,5950009595385777;0,7922741103135987;0,8935133927849459
025-ORCA512-BCELoss-random8;0,8563569641113281;0,6972281235429023;0,7265106865509143;0,596475835381204;0,8065047291052514;0,8830561597401271
026-ORCA512-L1Loss-random9;0,8400789642333985;0,768171537863411;0,6500184722983824;0,5024695183736912;0,6073533617655081;0,9421021842920176
027-ORCA512-L1Loss-random8;0,8644077682495117;0,7108608790917976;0,7358902820056418;0,6064487616625719;0,8058087523874654;0,8891392249267085
028-ORCA512-MSELoss-random8;0,8593669128417969;0,7189554724565755;0,7110497135676558;0,5804066139051666;0,7493115757293768;0,9044781359823836
029-ORCA512-MSELoss-random9;0,8583067321777343;0,7333262060649447;0,7081056765711573;0,5749716881360282;0,7381483892081347;0,9089290740510152
030-ORCA512-HuberLoss-random9;0,8489548873901367;0,6906799393537157;0,6878577917723292;0,5575202777726332;0,7359140516640023;0,8943218369574855
031-ORCA512-SmoothL1Loss-random9;0,8620603942871093;0,7019070661792945;0,730912616607845;0,6013978524580914;0,8076270499991312;0,8803301212297003
032-ORCA512-SmoothL1Loss-random8;0,8659313201904297;0,7485484430520825;0,7178923597486079;0,5844666635304685;0,7340554070121728;0,9156653426316049
033-ORCA512-HuberLoss-random8;0,8574962615966797;0,7264286506797275;0,7080556720221791;0,5736401767017915;0,7369210954520068;0,9063669779067471
034-ORCA512-BCELoss-random9;0,866082649230957;0,7267652222890969;0,7354145524643901;0,6064546129095012;0,8006095154155493;0,8960137687363673
035-ORCA512-BCELoss-random8;0,8591259384155273;0,7231161630347357;0,7056545913720143;0,5756522724590578;0,7472144770723284;0,8974696415241017
036-ORCA512-BCELoss-random9;0,8555661773681641;0,7262091083269234;0,6939089723332724;0,5620165674848563;0,7179875180127295;0,9084503030715689
100_ORCA_512x512____Size-512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_random_25_operations;0,7982647705078125;0,6351390465418771;0,576285902222388;0,43217716669652484;0,582950297360174;0,8911419294155855
101_ORCA_512x512____Size-512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_random_16_operations;0,7963300704956054;0,6054274735200699;0,6182719246510034;0,4749609899786915;0,7044452124930071;0,8434813764474076
102_ORCA_512x512____Size-512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_random_18_operations;0,8207415390014648;0,6526652552847968;0,6679417548283757;0,5269198258392326;0,7485054599091374;0,8627714391499449
103_ORCA_512x512____Size-512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_random_24_operations;0,7981977081298828;0,6170625712503308;0,6360659885311033;0,49104524972827795;0,7288569460975797;0,842721896528369
104_ORCA_512x512____Size-512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_standard_8_operations;0,8706341171264649;0,7323689307350701;0,7330494352402103;0,6019013652647771;0,7649033903862751;0,9046343787417338
105_ORCA_512x512____Size-512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_inpainting_augmentation;0,8568867492675781;0,6988537487080593;0,7282080182843054;0,5980403326234176;0,8135309094877935;0,881705643096319
106_ORCA_512x512____Size-512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_no_augmentation;0,8521211624145508;0,6704598570503681;0,7350997179022285;0,6051242307642153;0,8655949920920827;0,8545835282725107
107_ORCA_512x512____Size-512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_color_augmentation;0,8445051193237305;0,6722361213495496;0,7238231822957905;0,592901880473662;0,8515986775707272;0,8540152692477322
108_ORCA_512x512____Size-512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_standard_4_operations;0,864996452331543;0,7112779976634442;0,7189586169913059;0,5901345772234251;0,7589107175986025;0,8967798516120316
