model,augmentation,phase,epoch,loss,accuracy,date,transformations
,random_9_operations,train,361,0.05944661430083215,0.9182280349731445,2024-07-26 17:56:59.830943,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,361,0.10742772720754147,0.853634033203125,2024-07-26 17:56:59.831012,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,362,0.061575734596699475,0.914417610168457,2024-07-26 17:59:08.190004,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,362,0.09860350336879492,0.864642105102539,2024-07-26 17:59:08.190062,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,363,0.06714445870369673,0.9066337966918945,2024-07-26 18:01:17.256509,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,363,0.10847310308367014,0.8506806182861328,2024-07-26 18:01:17.256568,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,364,0.06143408531323075,0.9160501480102539,2024-07-26 18:03:19.314821,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,364,0.10044957781210542,0.8613867950439453,2024-07-26 18:03:19.314879,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,365,0.06191379715688527,0.9146903610229492,2024-07-26 18:05:25.411563,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,365,0.10339763665571809,0.8588595962524415,2024-07-26 18:05:25.411619,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,366,0.062420775331556794,0.9141100311279297,2024-07-26 18:07:28.818433,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,366,0.09774370145052672,0.8659995651245117,2024-07-26 18:07:28.818496,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,367,0.06356220870278775,0.9116374588012696,2024-07-26 18:09:33.166827,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,367,0.10696579895913601,0.8531874084472656,2024-07-26 18:09:33.166887,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,368,0.06185056708753109,0.914299087524414,2024-07-26 18:11:41.703316,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,368,0.10444725956767797,0.8582460403442382,2024-07-26 18:11:41.703375,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,369,0.06269554791972042,0.912931137084961,2024-07-26 18:13:47.186131,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,369,0.10130508448928595,0.8624531555175782,2024-07-26 18:13:47.186189,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-370_Images-100_Batch-1__random_9_operations_all.pth,random_9_operations,train,370,0.0596535230986774,0.9178928375244141,2024-07-26 18:15:53.678060,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-370_Images-100_Batch-1__random_9_operations_all.pth,random_9_operations,test,370,0.10530945058912039,0.8566883850097656,2024-07-26 18:15:53.678119,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-370_Images-100_Batch-1__random_9_operations_all.pth,random_9_operations,train,371,0.06168381173163653,0.9146638870239258,2024-07-26 18:18:00.345020,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-370_Images-100_Batch-1__random_9_operations_all.pth,random_9_operations,test,371,0.1046225717663765,0.8566379165649414,2024-07-26 18:18:00.345081,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-370_Images-100_Batch-1__random_9_operations_all.pth,random_9_operations,train,372,0.062402836345136166,0.9139471817016601,2024-07-26 18:20:08.185192,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
