model,augmentation,phase,epoch,loss,accuracy,TP,TN,FP,FN,date,transformations
,random_9_operations,train,1,0.4158743917942047,0.8161363220214843,6849355,14545169,1898673,2921203,2024-07-30 19:18:20.033570,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,1,0.3583373498916626,0.8322708129882812,6314211,15503269,1103742,3293178,2024-07-30 19:18:20.033634,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,2,0.4118060207366943,0.8079123306274414,6329493,14849444,2646683,2388780,2024-07-30 19:20:22.030147,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,2,0.3771219274401665,0.820433349609375,5722565,15784603,1695388,3011844,2024-07-30 19:20:22.030211,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,3,0.4028798747062683,0.816740608215332,6625887,14784478,2468734,2335301,2024-07-30 19:22:25.895806,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,3,0.36513266667723654,0.8277348709106446,5309628,16388945,2108325,2407502,2024-07-30 19:22:25.895867,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,4,0.39470998823642733,0.8208635330200196,6695592,14822853,2358101,2337854,2024-07-30 19:24:26.841725,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,4,0.3588478393852711,0.8332583236694336,5599772,16243595,1818181,2552852,2024-07-30 19:24:26.841788,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,5,0.38318073347210885,0.8261094284057617,6796928,14859035,2116012,2442425,2024-07-30 19:26:28.779553,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,5,0.3522387769818306,0.8386403274536133,5414659,16569794,2003294,2226653,2024-07-30 19:26:28.779615,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
