model,augmentation,phase,epoch,loss,accuracy,TP,TN,FP,FN,date,transformations
,random_9_operations,train,1,0.12382879119366408,0.8249618148803711,6450252,15175627,2297776,2290745,2024-08-01 00:33:10.846465,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,1,0.11698051787912846,0.8309860229492188,5689166,16094634,1728787,2701813,2024-08-01 00:33:10.846529,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,2,0.1415587242692709,0.7971515655517578,6453256,14443594,2850402,2467148,2024-08-01 00:35:17.284165,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,2,0.12727215096354486,0.8171634292602539,5166126,16255323,2251827,2541124,2024-08-01 00:35:17.284231,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,3,0.1314118905365467,0.8128347396850586,6662509,14645466,2389248,2517177,2024-08-01 00:37:19.410330,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,3,0.13071568243205547,0.8108686828613281,4917795,16338641,2500158,2457806,2024-08-01 00:37:19.410396,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,4,0.129329672716558,0.8163622665405273,6438845,14961602,2548774,2265179,2024-08-01 00:39:21.022916,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,4,0.1231872507929802,0.823093147277832,5298520,16278373,2119433,2518074,2024-08-01 00:39:21.022980,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,5,0.1284013932198286,0.8172269439697266,6492187,14930927,2475125,2316161,2024-08-01 00:41:25.040910,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,5,0.1261963179707527,0.8175826644897461,4680728,16751711,2737225,2044736,2024-08-01 00:41:25.040974,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
