model,augmentation,phase,epoch,loss,accuracy,TP,TN,FP,FN,date,transformations
,random_9_operations,train,1,0.06166331928223372,0.8261349105834961,6491072,15165559,2256956,2300813,2024-08-02 09:49:40.713118,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,1,0.05964709738269448,0.8257869720458985,5752773,15894737,1665180,2901710,2024-08-02 09:49:40.713190,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,2,0.0647764921747148,0.8154482650756836,6424871,14951616,2555439,2282474,2024-08-02 09:51:44.939270,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,2,0.061447877530008556,0.825400505065918,5459594,16177785,1958359,2618662,2024-08-02 09:51:44.939330,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,3,0.06413110185414553,0.8169206237792969,6294152,15120932,2601444,2197872,2024-08-02 09:53:48.597741,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,3,0.060637589544057846,0.8251670455932617,4777160,16854099,2640793,1942348,2024-08-02 09:53:48.597806,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,4,0.06406806627288461,0.8183306121826172,6587198,14864848,2484984,2277370,2024-08-02 09:55:51.510748,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,4,0.06056230533868075,0.829467887878418,5188455,16555548,2229498,2240899,2024-08-02 09:55:51.510808,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,5,0.06137063793838024,0.8267626953125,6630187,15042901,2280548,2260764,2024-08-02 09:57:51.950500,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,5,0.05945299183949828,0.8303911590576172,5577999,16190207,1839954,2606240,2024-08-02 09:57:51.950561,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,6,0.06119933063164353,0.8298316955566406,6601157,15152383,2325241,2135619,2024-08-02 10:00:02.159057,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,6,0.05933583490550518,0.8336201095581055,5510030,16342821,1907923,2453626,2024-08-02 10:00:02.159119,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,7,0.05927421860396862,0.8331233978271484,6657896,15181934,2252692,2121878,2024-08-02 10:02:05.606420,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,7,0.05793531931936741,0.8341597747802735,5651591,16215407,1766362,2581040,2024-08-02 10:02:05.606487,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,8,0.06075240788981318,0.8279039764404297,6853135,14849871,2293869,2217525,2024-08-02 10:04:13.157271,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,8,0.0612394262291491,0.8226777648925782,5440848,16125156,1977105,2671291,2024-08-02 10:04:13.157332,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,9,0.06139590118080378,0.824931640625,6982186,14642902,2252691,2336621,2024-08-02 10:06:17.617656,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,9,0.06023123165592551,0.8237666320800782,5574338,16020210,1843615,2776237,2024-08-02 10:06:17.617714,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_9_operations_all.pth,random_9_operations,train,10,0.062355495430529116,0.8236517333984374,6952020,14639516,2329595,2293269,2024-08-02 10:08:23.437253,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_9_operations_all.pth,random_9_operations,test,10,0.06000283937901259,0.8268257141113281,5444255,16230485,1973698,2565962,2024-08-02 10:08:23.437319,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_9_operations_all.pth,random_9_operations,train,11,0.06055863285437226,0.8279281616210937,6762195,14941445,2233324,2277436,2024-08-02 10:10:28.065085,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_9_operations_all.pth,random_9_operations,test,11,0.056370051484555005,0.8375445556640625,5548607,16407121,1869346,2389326,2024-08-02 10:10:28.065145,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_9_operations_all.pth,random_9_operations,train,12,0.06062566954642534,0.8269367218017578,6700462,14977188,2293778,2242972,2024-08-02 10:12:30.121867,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_9_operations_all.pth,random_9_operations,test,12,0.05974875619634986,0.8277147674560547,5603501,16094545,1814452,2701902,2024-08-02 10:12:30.121929,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_9_operations_all.pth,random_9_operations,train,13,0.06171106189489364,0.8255105972290039,6872293,14767972,2316508,2257627,2024-08-02 10:14:30.764990,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_9_operations_all.pth,random_9_operations,test,13,0.057596849109977484,0.8354808425903321,5480191,16421438,1937762,2375009,2024-08-02 10:14:30.765050,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_9_operations_all.pth,random_9_operations,train,14,0.060893455930054186,0.827861557006836,7053472,14648422,2248431,2264075,2024-08-02 10:16:33.526081,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_9_operations_all.pth,random_9_operations,test,14,0.059286726377904414,0.8264962768554688,5766016,15900088,1651937,2896359,2024-08-02 10:16:33.526144,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_9_operations_all.pth,random_9_operations,train,15,0.05738147338852286,0.8379781723022461,6799525,15167570,2120725,2126580,2024-08-02 10:18:34.591106,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_9_operations_all.pth,random_9_operations,test,15,0.058961948715150356,0.8293048095703125,5368239,16371489,2049714,2424958,2024-08-02 10:18:34.591193,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_9_operations_all.pth,random_9_operations,train,16,0.055423819050192835,0.8448346710205078,6971102,15175732,1952017,2115549,2024-08-02 10:20:34.753128,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_9_operations_all.pth,random_9_operations,test,16,0.05949246857315302,0.824800796508789,5347060,16274598,2070893,2521849,2024-08-02 10:20:34.753193,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
