model,augmentation,phase,epoch,loss,accuracy,TP,TN,FP,FN,date,transformations
ORCA__Size-640x640_Epoch-1_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,1,0.5732442560919561,0.6645843816801442,322558661,815567081,386407311,188004547,2024-08-16 12:21:58.606400,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-1_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,test,1,0.5709100439728862,0.7013722108799666,354861898,932449002,400718490,147388210,2024-08-16 12:21:58.606475,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-2_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,2,0.5278968473700809,0.7096052974252963,469106487,746119266,240801743,256510104,2024-08-16 14:29:00.367026,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-2_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,test,2,0.5106755836990045,0.7325087086448336,384267834,960191542,371312554,119645670,2024-08-16 14:29:00.367094,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-3_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,3,0.505853703409911,0.7286658581978012,495566703,752300977,213315661,251354259,2024-08-16 16:36:11.851423,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-3_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,test,3,0.4761530669741507,0.7621952530040038,453832661,945113921,301747727,134723291,2024-08-16 16:36:11.851565,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-4_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,4,0.47389557971727103,0.7557216226960508,518208082,775993612,191989750,226346156,2024-08-16 18:43:30.654012,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-4_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,test,4,0.45463173841125226,0.7816810501326773,488326318,946384839,267254070,133452373,2024-08-16 18:43:30.654087,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-5_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,5,0.4588674199521271,0.7679081189224685,529695417,785376110,180200034,217266039,2024-08-16 20:50:32.917932,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-5_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,test,5,0.4262177694212297,0.7992805103318189,535187603,931825913,220392785,148011299,2024-08-16 20:50:32.918000,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-6_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,6,0.4474657511517238,0.7745392790207922,532833593,793594045,178116026,207993936,2024-08-16 22:57:41.594687,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-6_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,test,6,0.4310751783727429,0.7951481995160129,509969612,949459388,245610776,130377824,2024-08-16 22:57:41.594754,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-7_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,7,0.4340514001935271,0.7858737262177504,538064176,807774129,171106678,195592617,2024-08-17 01:04:18.630171,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-7_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,test,7,0.4135315601897476,0.8029262354245706,549293076,924411868,206287312,155425344,2024-08-17 01:04:18.630240,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-8_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,8,0.42366917777420715,0.7947379607898823,544626148,816392492,165137763,186381197,2024-08-17 03:11:27.661801,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
