model,augmentation,phase,epoch,loss,accuracy,TP,TN,FP,FN,date,transformations
ORCA__Size-640x640_Epoch-23_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,train,23,0.11797021859826325,0.8354005990875759,571219009,859435928,137911360,143971303,2024-08-29 12:42:37.640463,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-23_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,test,23,0.11515546482949252,0.8377654747344677,636961988,900687509,118618400,179149703,2024-08-29 12:42:37.640561,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-24_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,train,24,0.11463209479060495,0.840639114142661,578859772,860766319,132812544,140098965,2024-08-29 14:50:52.120780,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-24_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,test,24,0.1151129720963322,0.8370977732805868,655972708,880451278,99607680,199385934,2024-08-29 14:50:52.120863,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-25_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,train,25,0.1124463954059555,0.8443467080664385,580418021,865557464,129196382,137365733,2024-08-29 16:59:04.208715,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-25_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,test,25,0.11656942226419163,0.8358153049202539,663161824,870908297,92418564,208928915,2024-08-29 16:59:04.208780,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-26_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,train,26,0.11045545335778786,0.8473017888775117,582252563,868783609,128029880,133471548,2024-08-29 19:06:54.362831,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-26_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,test,26,0.11357024277785813,0.8395857182583429,632048115,908942289,123532273,170894923,2024-08-29 19:06:54.362900,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-27_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,train,27,0.10842298910549174,0.8521706116116816,586549581,872824633,123780256,129383130,2024-08-29 21:14:55.622498,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-27_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,test,27,0.11574669014234877,0.8369889648001639,630969775,905254502,124610613,174582710,2024-08-29 21:14:55.622585,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-28_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,train,28,0.10953491696270193,0.8484513636372156,585371645,867633217,124528687,135004051,2024-08-29 23:22:14.566110,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-28_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,test,28,0.11330158087122841,0.8414784362970047,643606141,900858191,111974247,178979021,2024-08-29 23:22:14.566175,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-29_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,train,29,0.10667779630846844,0.8535585846407114,587550718,874200452,123125494,127660936,2024-08-30 01:30:40.545884,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-29_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,test,29,0.11549411980083799,0.8383328616877157,659179882,879511007,96400506,200326205,2024-08-30 01:30:40.545970,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-30_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,train,30,0.10680147466432614,0.8541909006844595,589095392,873738643,121118899,128584666,2024-08-30 03:38:16.686828,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-30_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,test,30,0.11695864618561497,0.8351551930198347,660056464,872802076,95523924,207035136,2024-08-30 03:38:16.686897,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-31_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,train,31,0.10587825480889634,0.8558228601812898,591950527,873678300,117255068,129653705,2024-08-30 05:45:45.581048,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-31_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,test,31,0.11470285774965604,0.8383480484223325,653103712,885615051,102476676,194222161,2024-08-30 05:45:45.581114,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-32_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,train,32,0.10741160791166399,0.8508988847894512,588712570,868483764,121890018,133451248,2024-08-30 07:53:16.908273,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-32_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,test,32,0.1115632116833374,0.8434434136405772,650753896,897316990,104826492,182520222,2024-08-30 07:53:16.908336,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-33_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,train,33,0.10579379828707006,0.8549277218789217,590883178,873212691,119570905,128870826,2024-08-30 10:00:49.489905,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-33_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,test,33,0.12008625407347247,0.8308894237474906,665623986,859405086,89956402,220432126,2024-08-30 10:00:49.489970,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-34_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,train,34,0.10469266619639024,0.8564632864119296,590925145,875800436,118274561,127537458,2024-08-30 12:08:15.428800,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-34_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,test,34,0.11022252222107728,0.8452868023059175,636882863,914571411,118697525,165265801,2024-08-30 12:08:15.428864,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-35_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,train,35,0.10284960297624997,0.8591669596042739,594232558,877123165,115230334,125951543,2024-08-30 14:16:19.400530,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-35_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,test,35,0.11212555790308659,0.8434230624136981,637267282,910766251,118313106,169070961,2024-08-30 14:16:19.400598,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
