model,augmentation,phase,epoch,loss,accuracy,TP,TN,FP,FN,date,transformations
,random_8_operations,train,1,0.3962186452746391,0.8218066024780274,6509110,15034057,2238918,2432315,2024-08-27 22:36:36.620286,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,1,0.35923064857721326,0.8303003311157227,5914585,15851240,1503368,2945207,2024-08-27 22:36:36.620352,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,train,2,0.3813325572013855,0.8256709289550781,6378952,15265516,2311597,2258335,2024-08-27 22:38:32.391198,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,2,0.3626463910937309,0.8317605209350586,5632273,16171830,1785680,2624617,2024-08-27 22:38:32.391257,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,train,3,0.3972592072188854,0.8176903533935547,6368406,15066856,2640168,2138970,2024-08-27 22:40:22.857868,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,3,0.3681358531117439,0.8232705307006836,5329067,16252476,2088886,2543971,2024-08-27 22:40:22.857931,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,train,4,0.38358612954616544,0.8234212493896484,6670476,14915018,2399073,2229833,2024-08-27 22:42:14.059700,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,4,0.3651187360286713,0.8293634796142578,5561869,16179397,1856084,2617050,2024-08-27 22:42:14.059760,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,train,5,0.38731025844812395,0.8274973678588867,6723762,14968585,2287980,2234073,2024-08-27 22:44:03.321505,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,5,0.3706478618085384,0.8236738586425781,5410506,16181610,2007447,2614837,2024-08-27 22:44:03.321566,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,train,6,0.3898218105733395,0.8211046981811524,6773869,14750898,2312323,2377310,2024-08-27 22:45:54.793118,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,6,0.3662141515314579,0.8297646713256835,5613789,16137994,1804164,2658453,2024-08-27 22:45:54.793185,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,train,7,0.395091405659914,0.8255683898925781,6784294,14857486,2288641,2283979,2024-08-27 22:47:46.014619,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,7,0.3640159796178341,0.8327477645874023,5629424,16200559,1788529,2595888,2024-08-27 22:47:46.014680,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,train,8,0.37426625221967696,0.8323049163818359,6627325,15191049,2256474,2139552,2024-08-27 22:49:38.979291,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,8,0.3613423205912113,0.8332252120971679,5233728,16608771,2184225,2187676,2024-08-27 22:49:38.979359,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,train,9,0.38978977471590043,0.8232631683349609,6592350,14989000,2552109,2080941,2024-08-27 22:51:31.133107,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,9,0.35572357311844827,0.8368346405029297,5293071,16644047,2124882,2152400,2024-08-27 22:51:31.133178,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,train,10,0.3640727333724499,0.8376557159423829,6840512,15118130,2153878,2101880,2024-08-27 22:53:23.788183,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,test,10,0.3490577881038189,0.8408045196533203,5598670,16442516,1819283,2353931,2024-08-27 22:53:23.788248,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,train,11,0.3725034075975418,0.8355857467651367,6874224,15030155,2151964,2158057,2024-08-27 22:55:18.124042,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,test,11,0.3615201580524445,0.8323390197753906,5458112,16361156,1959841,2435291,2024-08-27 22:55:18.124104,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,train,12,0.3656232640147209,0.8375708770751953,6890296,15066122,2062042,2195940,2024-08-27 22:57:14.899842,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,test,12,0.34161301627755164,0.8459476470947266,5637667,16538343,1780286,2258104,2024-08-27 22:57:14.899905,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,train,13,0.35962735295295717,0.8398589324951172,6704455,15311943,2137703,2060299,2024-08-27 22:59:07.736857,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,test,13,0.359355738312006,0.8338024139404296,5202049,16655581,2215904,2140866,2024-08-27 22:59:07.736922,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,train,14,0.37528338879346845,0.835796012878418,6859976,15049915,2195475,2109034,2024-08-27 23:00:56.833524,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,test,14,0.3483547854423523,0.843174934387207,5352012,16751313,2065941,2045134,2024-08-27 23:00:56.833584,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,train,15,0.37326382488012316,0.834067611694336,6855123,15009459,2195429,2154389,2024-08-27 23:02:51.606971,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,test,15,0.373025957942009,0.8188603973388672,5152005,16313929,2265948,2482518,2024-08-27 23:02:51.607038,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,train,16,0.3613459628820419,0.839388313293457,6984429,15019632,2101890,2108449,2024-08-27 23:04:45.637371,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,test,16,0.35492385298013684,0.8318946838378907,5490149,16317471,1927804,2478976,2024-08-27 23:04:45.637435,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,train,17,0.36134119391441344,0.8405352783203125,6992893,15041235,2108271,2072001,2024-08-27 23:06:38.842368,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,test,17,0.35161617264151573,0.8402694320678711,5613457,16413702,1804496,2382745,2024-08-27 23:06:38.842429,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,train,18,0.3577114914357662,0.8406019973754882,6884764,15151113,2128684,2049839,2024-08-27 23:08:28.616859,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,test,18,0.35503445789217947,0.8339920043945312,5703478,16159122,1714475,2637325,2024-08-27 23:08:28.616920,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,train,19,0.3566013829410076,0.842175521850586,7088830,14988296,1945715,2191559,2024-08-27 23:10:17.040179,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,test,19,0.3517121160030365,0.8339734268188477,5372434,16489679,2045519,2306768,2024-08-27 23:10:17.040241,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
