model,augmentation,phase,epoch,loss,accuracy,TP,TN,FP,FN,date,transformations
,random_8_operations,train,1,0.23425661884248256,0.8180747985839844,7062730,14382610,1685298,3083762,2024-09-15 10:50:34.032260,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,1,0.20875520527362823,0.8098763275146484,5839525,15390897,1578428,3405550,2024-09-15 10:50:34.032355,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,train,2,0.19850791312754154,0.8126415252685547,6963188,14339722,2288591,2622899,2024-09-15 10:52:26.979675,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,2,0.19285638824105264,0.8149951553344726,5589279,15775330,1828674,3021117,2024-09-15 10:52:26.979744,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,train,3,0.18111320216208696,0.8245124816894531,6869107,14744993,2180835,2419465,2024-09-15 10:54:14.947815,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,3,0.1926252342760563,0.8109674072265625,5591119,15667905,1826834,3128542,2024-09-15 10:54:14.947880,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,train,4,0.1826840251684189,0.8208545684814453,6833887,14684323,2327512,2368678,2024-09-15 10:56:03.185455,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,4,0.18045082345604896,0.822429428100586,5575080,15984414,1842873,2812033,2024-09-15 10:56:03.185561,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,train,5,0.17752674695104362,0.8249465560913086,6865073,14760406,2237130,2351791,2024-09-15 10:57:53.126286,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,5,0.18979414217174054,0.8115160751342774,5612707,15660700,1805246,3135747,2024-09-15 10:57:53.126347,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
