model,augmentation,phase,epoch,loss,accuracy,TP,TN,FP,FN,date,transformations
,random_8_operations,train,1,0.12976232025772333,0.8151849746704102,6447150,14922435,2300878,2543937,2024-09-16 11:39:05.171061,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,1,0.11684457156807185,0.8311685180664062,5552124,16236460,1865829,2559987,2024-09-16 11:39:05.171131,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,train,2,0.12706765960901975,0.8204671478271485,6750606,14757448,2327678,2378668,2024-09-16 11:40:54.113401,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,2,0.12036425907164812,0.8277867889404297,5506302,16193632,1911651,2602815,2024-09-16 11:40:54.113462,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,train,3,0.12831585511565208,0.8191135025024414,6531729,14940840,2490575,2251256,2024-09-16 11:42:42.920936,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,3,0.12524403270334006,0.8163475036621094,5177554,16222506,2240399,2573941,2024-09-16 11:42:42.920997,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,train,4,0.12332643955945968,0.8261606216430664,6819005,14838300,2408259,2148836,2024-09-16 11:44:30.853847,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,4,0.12506959334015846,0.8214197540283203,4991372,16541654,2426581,2254793,2024-09-16 11:44:30.853909,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,train,5,0.12379804380238056,0.8253498077392578,6564062,15071988,2471114,2107236,2024-09-16 11:46:20.456924,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,5,0.12083611935377121,0.8277375411987304,5192851,16505792,2225102,2290655,2024-09-16 11:46:20.456986,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,train,6,0.1159593464806676,0.8372888565063477,6578617,15370408,2228168,2037207,2024-09-16 11:48:12.382398,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,6,0.11373008709400892,0.8395610046386719,5130762,16877826,2287191,1918621,2024-09-16 11:48:12.382460,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,train,7,0.11548349242657423,0.8383054733276367,6788323,15187352,2172545,2066180,2024-09-16 11:50:00.571220,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,7,0.11678742721676827,0.8315362930297852,5183112,16615113,2234841,2181334,2024-09-16 11:50:00.571280,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,train,8,0.11923080727458,0.8323120880126953,6712961,15105601,2304702,2091136,2024-09-16 11:51:49.374288,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,8,0.11820350304245948,0.8271871566772461,5710286,15973929,1707667,2822518,2024-09-16 11:51:49.374348,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,train,9,0.11238653980195522,0.8419182968139648,6779776,15290607,2021899,2122118,2024-09-16 11:53:39.127252,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,9,0.12005353666841984,0.825902214050293,5698201,15952330,1719752,2844117,2024-09-16 11:53:39.127315,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,train,10,0.11742713689804077,0.8351422500610352,6904051,14988702,2097613,2224034,2024-09-16 11:55:32.146734,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,test,10,0.12363915149122477,0.8194502258300781,5447919,16033477,1970034,2762970,2024-09-16 11:55:32.146815,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,train,11,0.1133234766498208,0.8396351623535157,6847379,15163153,2056951,2146917,2024-09-16 11:57:20.004571,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,test,11,0.11852146424353123,0.8282695388793946,5201588,16511001,2216365,2285446,2024-09-16 11:57:20.004636,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,train,12,0.11362659227102995,0.8413139343261719,6880993,15173547,2034027,2125833,2024-09-16 11:59:10.665399,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,test,12,0.11991080995649099,0.8245735549926758,5306884,16308817,2111069,2487630,2024-09-16 11:59:10.665463,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,train,13,0.1159415578469634,0.8368428039550782,6855271,15082061,2206320,2070748,2024-09-16 12:01:02.812260,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
