model,augmentation,phase,epoch,loss,accuracy,TP,TN,FP,FN,date,transformations
,random_9_operations,train,1,0.2323079302161932,0.8161608123779297,7005697,14389469,1742331,3076903,2024-07-31 09:40:14.376342,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,1,0.21005246490240098,0.8051002883911133,5734997,15370224,1682956,3426223,2024-07-31 09:40:14.376414,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,2,0.19804759398102761,0.8122658920288086,6766213,14526850,2240035,2681302,2024-07-31 09:42:17.718729,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,2,0.20880233325064182,0.7960465621948242,5735358,15132525,1682595,3663922,2024-07-31 09:42:17.718790,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,3,0.18968950051814318,0.8151051330566407,7033446,14334046,2223156,2623752,2024-07-31 09:44:21.771025,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,3,0.19193343877792357,0.8117930221557618,5713056,15567611,1704897,3228836,2024-07-31 09:44:21.771088,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,4,0.18665029719471932,0.8168047332763672,6794642,14617404,2310745,2491609,2024-07-31 09:46:20.212145,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,4,0.1978694412112236,0.8045630264282226,5489112,15602025,1928841,3194422,2024-07-31 09:46:20.212208,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,5,0.1778150974959135,0.8247217178344727,6834747,14784838,2183238,2411577,2024-07-31 09:48:23.879715,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,5,0.20313153110444546,0.7978385162353515,5462679,15452179,1955274,3344268,2024-07-31 09:48:23.879775,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
