model,augmentation,phase,epoch,loss,accuracy,TP,TN,FP,FN,date,transformations
,random_9_operations,train,1,0.06336208805441856,0.8211484909057617,6547743,14978172,2200285,2488200,2024-08-01 18:23:32.685063,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,1,0.05697163574397564,0.8364049530029297,6014175,15911679,1403778,2884768,2024-08-01 18:23:32.685140,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,2,0.06901652913540601,0.7990489959716797,6297736,14648854,2794629,2473181,2024-08-01 18:25:40.309228,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,2,0.05998407233506441,0.8271316146850586,5775551,15907208,1642402,2889239,2024-08-01 18:25:40.309329,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,3,0.06439090749248862,0.8174188232421875,6819591,14608553,2279819,2506437,2024-08-01 18:27:43.836845,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,3,0.060269399657845495,0.8242656707763671,4852376,16755254,2565577,2041193,2024-08-01 18:27:43.836907,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,4,0.06433946836739779,0.8165546417236328,6481390,14924100,2475914,2332996,2024-08-01 18:29:49.700321,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,4,0.06008955810219049,0.8283392333984375,4988364,16726052,2429589,2070395,2024-08-01 18:29:49.700383,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,5,0.06261204363778233,0.8229850769042969,6595852,14978208,2384508,2255832,2024-08-01 18:31:57.777641,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,5,0.05972530990839005,0.8271237945556641,4920433,16762121,2497520,2034326,2024-08-01 18:31:57.777702,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,6,0.06408768704161048,0.818092269897461,6462106,14983692,2474320,2294282,2024-08-01 18:34:08.842394,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,6,0.059804098587483166,0.8276716995239258,5386741,16310176,2031212,2486271,2024-08-01 18:34:08.842481,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,7,0.06252024712041021,0.8224155044555664,6823993,14735136,2279105,2376166,2024-08-01 18:36:12.139706,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,7,0.05739340595901012,0.8357026672363281,5547118,16360326,1870835,2436121,2024-08-01 18:36:12.139767,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,8,0.06093464532867074,0.8278621292114258,6885800,14816109,2229274,2283217,2024-08-01 18:38:12.741196,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,8,0.06169519085437059,0.8205120849609375,4786525,16722707,2631428,2073740,2024-08-01 18:38:12.741294,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,9,0.059684314355254175,0.832275505065918,7019400,14798203,2057617,2339180,2024-08-01 18:40:10.203387,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,9,0.05925905304029584,0.8290467834472657,5478548,16254416,1939405,2542031,2024-08-01 18:40:10.203455,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_9_operations_all.pth,random_9_operations,train,10,0.06210985276848078,0.8251176834106445,6959134,14670831,2265756,2318679,2024-08-01 18:42:16.641620,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_9_operations_all.pth,random_9_operations,test,10,0.0613796416670084,0.8216112899780273,5304261,16233786,2113692,2562661,2024-08-01 18:42:16.641684,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
