model,augmentation,phase,epoch,loss,accuracy,TP,TN,FP,FN,date,transformations
,random_8_operations,train,1,0.39583499014377593,0.8212783813476563,6600519,14928801,2147509,2537571,2024-09-12 21:06:39.174267,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,1,0.37187113165855407,0.8217127227783203,6074198,15466508,1343755,3329939,2024-09-12 21:06:39.174338,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,train,2,0.4110834154486656,0.8116592407226563,6310390,14966770,2792407,2144833,2024-09-12 21:08:32.225888,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,2,0.3786704149842262,0.8244869995117188,5700289,15913143,1717664,2883304,2024-09-12 21:08:32.225987,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,train,3,0.39418111741542816,0.8195110702514649,6665468,14817523,2439885,2291524,2024-09-12 21:10:23.221790,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,3,0.37741650491952894,0.8214601135253906,5616624,15917460,1801329,2878987,2024-09-12 21:10:23.221854,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,train,4,0.40786917239427567,0.8146569061279297,6491178,14864564,2695159,2163499,2024-09-12 21:12:17.013993,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,4,0.3667967815697193,0.8303535842895508,5538096,16229125,1879857,2567322,2024-09-12 21:12:17.014058,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,train,5,0.38857352748513224,0.823647232055664,6559136,15032282,2548784,2074198,2024-09-12 21:14:10.660352,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,5,0.3649330309033394,0.8316609573364258,5577649,16223844,1840304,2572603,2024-09-12 21:14:10.660411,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,train,6,0.394413328319788,0.8224346542358398,6532421,15027210,2581749,2073020,2024-09-12 21:16:03.827810,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,6,0.3743339276313782,0.8259173965454102,5378345,16272584,2039608,2523863,2024-09-12 21:16:03.827875,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,train,7,0.38607016295194624,0.8281148529052734,6818979,14889555,2258647,2247219,2024-09-12 21:17:58.355786,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,7,0.3643744896352291,0.828733901977539,5689104,16035658,1728849,2760789,2024-09-12 21:17:58.355852,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,train,8,0.3788255724310875,0.8314237213134765,6892734,14902540,2298250,2120876,2024-09-12 21:19:50.673514,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,8,0.37558586567640306,0.8236741638183593,5643283,15948841,1774670,2847606,2024-09-12 21:19:50.673582,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,train,9,0.3696605949103832,0.8362902069091797,6733117,15189729,2260285,2031269,2024-09-12 21:21:44.969036,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,9,0.37031655699014665,0.8271684646606445,5616250,16067475,1801703,2728972,2024-09-12 21:21:44.969098,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,train,10,0.3671531091630459,0.8352033233642578,6738662,15155692,2101012,2219034,2024-09-12 21:23:41.966310,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,test,10,0.36259315729141234,0.8303831481933593,5405019,16362977,2012934,2433470,2024-09-12 21:23:41.966374,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,train,11,0.36437555074691774,0.8388139343261719,6970388,15018616,2070638,2154758,2024-09-12 21:25:36.931381,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,test,11,0.37161561265587806,0.8254042053222657,5368687,16268789,2049266,2527658,2024-09-12 21:25:36.931447,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,train,12,0.36804208979010583,0.8373166275024414,7039266,14910487,2029338,2235309,2024-09-12 21:27:29.878624,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,test,12,0.36922712072730063,0.826479606628418,5566215,16099452,1851738,2696995,2024-09-12 21:27:29.878693,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,train,13,0.3567200756072998,0.8423191452026367,7040424,15040467,1990471,2143038,2024-09-12 21:29:23.635888,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,test,13,0.3582690592110157,0.8333202743530274,5647124,16197867,1770829,2598580,2024-09-12 21:29:23.635983,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,train,14,0.3644068732857704,0.8377990341186523,6970473,14991926,2124776,2127225,2024-09-12 21:31:14.512132,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,test,14,0.3590907281637192,0.8333269882202149,5664283,16180884,1753670,2615563,2024-09-12 21:31:14.512197,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,train,15,0.3591805884242058,0.8387760543823242,7157812,14830199,1993038,2233351,2024-09-12 21:33:11.150931,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,test,15,0.35611714094877245,0.8340631866455078,5867662,15996804,1550291,2799643,2024-09-12 21:33:11.151038,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,train,16,0.3473234064877033,0.8440240859985352,7012496,15113089,1995516,2093299,2024-09-12 21:35:07.447068,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,test,16,0.3484567971527576,0.83794189453125,5898993,16067151,1518960,2729296,2024-09-12 21:35:07.447132,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,train,17,0.3526541841030121,0.8419354248046875,6951244,15119588,1980717,2162851,2024-09-12 21:37:03.248169,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,test,17,0.35783870160579684,0.8288121032714844,5623261,16103551,1794692,2692896,2024-09-12 21:37:03.248240,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,train,18,0.34372336268424986,0.8493681716918945,7058064,15207613,1999615,1949108,2024-09-12 21:39:00.444823,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
