model,augmentation,phase,epoch,loss,accuracy,TP,TN,FP,FN,date,transformations
,random_9_operations,train,1,0.2368232251703739,0.8108619689941406,6992209,14264051,1755819,3202321,2024-09-14 15:55:35.762673,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,1,0.2147977960854769,0.8055435943603516,5882659,15234183,1535294,3562264,2024-09-14 15:55:35.762749,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,2,0.19438673697412015,0.8178172683715821,6844880,14593709,2131963,2643848,2024-09-14 15:57:40.192127,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,2,0.202877644225955,0.8066061782836914,5462005,15682692,1955948,3113755,2024-09-14 15:57:40.192202,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,3,0.1797866954654455,0.8264634704589844,6752154,14913090,2063757,2485399,2024-09-14 15:59:49.037436,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,3,0.19742823094129563,0.8087577819824219,5196816,16004284,2221137,2792163,2024-09-14 15:59:49.037552,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,4,0.18680680990219117,0.8169834899902344,6753558,14663174,2416640,2381028,2024-09-14 16:01:51.883375,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,4,0.1877213481068611,0.8157237243652343,5336411,16047297,2081542,2749150,2024-09-14 16:01:51.883437,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,5,0.18423810362815857,0.8182991027832032,6707548,14743672,2374308,2388872,2024-09-14 16:03:55.657016,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,5,0.17058403745293618,0.8326749801635742,5637325,16190750,1780628,2605697,2024-09-14 16:03:55.657077,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,6,0.1748013374954462,0.8271812057495117,6876523,14807536,2122339,2408002,2024-09-14 16:06:01.391285,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,6,0.1858902342990041,0.8161832809448242,5363225,16032530,2054728,2763917,2024-09-14 16:06:01.391348,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,7,0.17503791205585004,0.8265777969360352,6790419,14877822,2326337,2219822,2024-09-14 16:08:06.398263,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,7,0.18993521053344012,0.8120633316040039,5435287,15852466,1982666,2943981,2024-09-14 16:08:06.398325,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
