model,augmentation,phase,epoch,loss,accuracy,TP,TN,FP,FN,date,transformations
,random_9_operations,train,1,0.12835936184972524,0.8171530151367188,6409237,15011939,2338791,2454433,2024-09-16 22:40:49.743218,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,1,0.11801293343305588,0.8291828155517578,5791234,15945296,1626719,2851151,2024-09-16 22:40:49.743284,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,2,0.13656604781746864,0.8052817535400391,6454147,14655831,2685476,2418946,2024-09-16 22:42:54.974091,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,2,0.1264982371032238,0.8175544357299804,5883558,15548141,1534395,3248306,2024-09-16 22:42:54.974154,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,3,0.12909162513911723,0.8155471038818359,6415483,14963595,2517585,2317737,2024-09-16 22:44:58.565962,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,3,0.12788852870464326,0.8173341751098633,4975343,16450582,2442610,2345865,2024-09-16 22:44:58.566027,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,4,0.13096235916018487,0.8125183486938476,6544455,14755226,2611143,2303576,2024-09-16 22:47:03.468568,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,4,0.12043316695839167,0.8288937759399414,5725594,16003359,1692359,2793088,2024-09-16 22:47:03.468633,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,5,0.12630747497081757,0.8201139831542968,6623430,14875366,2451320,2264284,2024-09-16 22:49:06.383375,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,5,0.12290128819644451,0.8263970947265625,5703948,15959556,1714005,2836891,2024-09-16 22:49:06.383476,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,6,0.12229733489453792,0.8257686233520508,6583797,15063232,2338747,2228624,2024-09-16 22:51:12.977979,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,6,0.12000336609780789,0.8288861083984375,5193243,16535509,2224710,2260938,2024-09-16 22:51:12.978043,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,7,0.1262739360332489,0.8220693588256835,6814852,14735203,2291378,2372967,2024-09-16 22:53:15.413794,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,7,0.11871457234025001,0.8311807632446289,5633835,16155070,1784118,2641377,2024-09-16 22:53:15.413855,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,8,0.12166289530694485,0.8268622970581054,6776719,14898980,2265727,2272974,2024-09-16 22:55:19.504400,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,8,0.1196336654946208,0.8313507461547851,5344185,16449176,2073768,2347271,2024-09-16 22:55:19.504506,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,9,0.12197008986026049,0.8277661895751953,6737221,14962173,2273663,2241343,2024-09-16 22:57:25.382116,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,9,0.1178384417667985,0.8325480270385742,5886295,15938452,1531658,2857995,2024-09-16 22:57:25.382190,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
