model,augmentation,phase,epoch,loss,accuracy,TP,TN,FP,FN,date,transformations
,random_9_operations,train,1,0.06558224592357874,0.8152851486206054,6554188,14818023,2193840,2648349,2024-09-18 13:08:03.699542,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,1,0.05842639876529574,0.8322438812255859,5888499,15928275,1529454,2868172,2024-09-18 13:08:03.699623,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,2,0.06382234510034322,0.8182776260375977,6510215,14940442,2471009,2292734,2024-09-18 13:10:32.245551,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,2,0.061398695148527624,0.8239471817016601,5202056,16397225,2215897,2399222,2024-09-18 13:10:32.245624,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,3,0.06516931425780058,0.8168783569335938,6500845,14913131,2500346,2300078,2024-09-18 13:12:49.448545,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,3,0.06528403038159013,0.8091710662841797,5258687,15953247,2159266,2843200,2024-09-18 13:12:49.448615,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,4,0.06151149831712246,0.8255972290039062,6686353,14956183,2289443,2282421,2024-09-18 13:15:11.534887,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,4,0.0619438286870718,0.8208694458007812,5829259,15689341,1588694,3107106,2024-09-18 13:15:11.534947,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,5,0.06327214377000928,0.8217425537109375,6678677,14862811,2409137,2263775,2024-09-18 13:17:32.664291,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,5,0.06256640231236815,0.8201764297485351,4985932,16514501,2432021,2281946,2024-09-18 13:17:32.664355,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
