model,augmentation,phase,epoch,loss,accuracy,TP,TN,FP,FN,date,transformations
,random_8_operations,train,1,0.06626559276133775,0.816373405456543,6656613,14744126,2091415,2722246,2024-09-20 02:22:04.178132,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,1,0.05907614016905427,0.8332601165771485,6016190,15827224,1401763,2969223,2024-09-20 02:22:04.178230,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,train,2,0.0646368121355772,0.815887336730957,6453642,14934355,2485946,2340457,2024-09-20 02:24:09.929778,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,2,0.06004859225824475,0.8318907546997071,5630016,16177501,1787937,2618946,2024-09-20 02:24:09.929846,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,train,3,0.06432387925684452,0.8177009963989258,6496199,14939342,2534532,2244327,2024-09-20 02:26:14.929345,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,3,0.06014325015246868,0.829698715209961,5685617,16064437,1732336,2732010,2024-09-20 02:26:14.929405,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,train,4,0.06340678010135889,0.8206507110595703,6695849,14817017,2458442,2243092,2024-09-20 02:28:21.147572,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,4,0.0638890790194273,0.8173886489868164,4994268,16433085,2423685,2363362,2024-09-20 02:28:21.147637,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,train,5,0.06104340869933367,0.8292364120483399,7003799,14734136,2055321,2421144,2024-09-20 02:30:26.795255,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,5,0.061347654908895495,0.8216175842285156,5506681,16031531,1911272,2764916,2024-09-20 02:30:26.795328,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,train,6,0.06089373055845499,0.8291513061523438,6603602,15132102,2312178,2166518,2024-09-20 02:32:30.155717,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,6,0.05675348898395896,0.8376524734497071,5426527,16532030,1991426,2264417,2024-09-20 02:32:30.155779,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,train,7,0.061478170696645976,0.8269490432739258,6637490,15040483,2433758,2102669,2024-09-20 02:34:35.028872,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,7,0.05842479297891259,0.8331065368652344,5348063,16491325,2069890,2305122,2024-09-20 02:34:35.028941,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,train,8,0.05774384375661611,0.8379106521606445,6883714,15081611,2139918,2109157,2024-09-20 02:36:38.071728,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,8,0.05961265984922647,0.8272682189941406,5434027,16252313,1983926,2544134,2024-09-20 02:36:38.071793,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,train,9,0.05732080833986401,0.8386501693725585,6753032,15231679,2157709,2071980,2024-09-20 02:38:46.810782,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_8_operations,test,9,0.06018487378954887,0.825748176574707,4975239,16671254,2442714,2125193,2024-09-20 02:38:46.810861,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,train,10,0.06014841547235847,0.8308406448364258,6934847,14845142,2124933,2309478,2024-09-20 02:40:57.573645,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,test,10,0.05744302872568369,0.8331351470947266,5523334,16316804,1894619,2479643,2024-09-20 02:40:57.573709,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,train,11,0.05695651279762387,0.8424564743041992,6725657,15358834,2129759,2000150,2024-09-20 02:43:03.722069,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,test,11,0.058036207258701324,0.8347568130493164,5470742,16411907,1947211,2384540,2024-09-20 02:43:03.722130,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,train,12,0.05812632292509079,0.8381830596923828,6970918,15001548,2040062,2201872,2024-09-20 02:45:08.823597,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,test,12,0.060087121408432725,0.8266200637817382,4741239,16928110,2676714,1868337,2024-09-20 02:45:08.823665,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,train,13,0.05838430175557732,0.8386203002929687,7064502,14919426,2074624,2155848,2024-09-20 02:47:16.965219,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,test,13,0.05498760730028152,0.8446360015869141,5469841,16671785,1948112,2124662,2024-09-20 02:47:16.965283,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,train,14,0.05572824535891414,0.843997802734375,7009168,15115728,1967764,2121740,2024-09-20 02:49:21.713269,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,test,14,0.05792668839916587,0.8310128784179688,5222135,16562369,2195818,2234078,2024-09-20 02:49:21.713354,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,train,15,0.05671578355133534,0.842132453918457,7009424,15066573,2034209,2104194,2024-09-20 02:51:26.556555,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,test,15,0.06038328498601914,0.8235904312133789,5077020,16512909,2340933,2283538,2024-09-20 02:51:26.556654,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,train,16,0.05477833092212677,0.8456366729736328,7065844,15102014,2015566,2030976,2024-09-20 02:53:28.279020,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,test,16,0.057119993194937706,0.8363042449951172,5153005,16770209,2264948,2026238,2024-09-20 02:53:28.279092,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,train,17,0.057999618202447895,0.8366594314575195,7094425,14838100,2199259,2082616,2024-09-20 02:55:32.134957,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,test,17,0.055688334684818985,0.8445428085327148,5859082,16280101,1558871,2516346,2024-09-20 02:55:32.135045,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,train,18,0.055331533029675486,0.8447152709960938,6994591,15149113,2013840,2056856,2024-09-20 02:57:42.204830,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,test,18,0.05805556541308761,0.8329825592041016,5747744,16088394,1670209,2708053,2024-09-20 02:57:42.204890,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random_8_operations_all.pth,random_8_operations,train,19,0.05393143502995372,0.848931884765625,7072997,15181243,1894983,2065177,2024-09-20 02:59:45.720952,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
