dataset;type;accuracy;precision;f1;iou;sensitivity;specificity
012-ORCA512-BCELoss-Full;min;0,8100508880615235;0,6282353096602257;0,6566606388892451;0,48882706626438616;0,6488352811919084;0,8611450537507656
012-ORCA512-BCELoss-Full;mean;0,8478613726615908;0,75108688542513;0,7361563111117578;0,5827954704189;0,723898586063138;0,9005598926794809
012-ORCA512-BCELoss-Full;max;0,8700183868408203;0,8625690941962021;0,7802137523632875;0,6396315369802871;0,8052414018422028;0,9386473205505622
012-ORCA512-BCELoss-Full;last;0,8540022659301758;0,6990591609302459;0,7304458334410331;0,5753561783195535;0,7647834234402179;0,8851305659471727
013-ORCA512-L1Loss-Full;min;0,7960465621948242;0,6454982931274976;0,6694897153124341;0,503182668347164;0,610191206134938;0,8657198189415298
013-ORCA512-L1Loss-Full;mean;0,8479294531822203;0,7752007484409782;0,742423337537203;0,590725368123018;0,7134185168772595;0,9083363806892133
013-ORCA512-L1Loss-Full;max;0,8682690811157227;0,8756807976540159;0,7749769626669307;0,6326223581509868;0,7683288654211294;0,944561933325883
013-ORCA512-L1Loss-Full;last;0,858363151550293;0,8197033602127164;0,7660997405374472;0,6208765535644961;0,719076505786296;0,9246872998480831
014-ORCA512-MSELoss-Full;min;0,8108686828613281;0,6309999537608286;0,6618949296340482;0,49465093907239266;0,6666979235818151;0,8595497978955855
014-ORCA512-MSELoss-Full;mean;0,8509078037261963;0,7557979944062736;0,7413602227009416;0,5893481820367693;0,7285889200314439;0,9023468539237698
014-ORCA512-MSELoss-Full;max;0,8712124633789062;0,8357444432446526;0,7840811311909572;0,6448465858243831;0,7818890300553378;0,9298854950893374
014-ORCA512-MSELoss-Full;last;0,8633734130859375;0,7851733490357785;0,7648388985618314;0,619221976527018;0,7455311045059329;0,9134021819680469
015-ORCA512-HuberLoss-Full;min;0,8189283752441406;0,6452622441797623;0,6704653199720021;0,5042856948702408;0,6665540653610763;0,864037943312889
015-ORCA512-HuberLoss-Full;mean;0,8485321415901184;0,7669767818696074;0,7410131575552958;0,5889637143310044;0,7178615156593026;0,9057272461938172
015-ORCA512-HuberLoss-Full;max;0,86734375;0,860753094553174;0,7771896567184606;0,6355766133223825;0,7666375604797037;0,9394321712362425
015-ORCA512-HuberLoss-Full;last;0,863790283203125;0,7701688053294488;0,7619056001783846;0,6153857091092246;0,7538178260436438;0,9085147764661565
016-ORCA512-SmoothL1Loss-Full;min;0,8199107360839843;0,5520076765112963;0,6440909511318714;0,4750251882082643;0,6636952895089798;0,841128766891195
016-ORCA512-SmoothL1Loss-Full;mean;0,8492385967254639;0,7470839775474447;0,7368321656874435;0,5837352633573605;0,7284515922345115;0,8994019155278404
016-ORCA512-SmoothL1Loss-Full;max;0,866068115234375;0,8431293646643487;0,7776806415285871;0,6362335965137011;0,7895274813136759;0,9330875323770979
016-ORCA512-SmoothL1Loss-Full;last;0,8631415939331055;0,7876120271994174;0,76509165204953;0,6195533889776705;0,7438233371688552;0,9141881748524517
