model,augmentation,phase,epoch,loss,accuracy,TP,TN,FP,FN,date,transformations
model,augmentation,phase,epoch,loss,accuracy,TP,TN,FP,FN,date,transformations
,random_9_operations,train,1,0.331304632133884,0.6715265148046976,432789823,717224583,276176149,286347045,2024-08-06 22:47:57.399695,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,1,0.32193663480149776,0.6785179906741656,435067657,810296205,320512731,269541007,2024-08-06 22:47:57.399774,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,2,0.31240828754569683,0.687975254382735,450330188,727853303,260343353,274010756,2024-08-07 00:55:59.062914,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,2,0.2853243579475728,0.7152425622376081,403383205,909385582,352197183,170451630,2024-08-07 00:55:59.062984,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,train,3,0.29864962877029866,0.7016846252018065,458448389,743212915,252092459,258783837,2024-08-07 03:03:57.227944,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
,random_9_operations,test,3,0.262664576984079,0.7385595506984334,491696495,863868703,263883893,215968509,2024-08-07 03:03:57.228015,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-4_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,train,4,0.2889651104344977,0.7114425586918487,441490308,776881824,267778949,226386519,2024-08-07 05:11:39.452647,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-4_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,test,4,0.22425434257418642,0.7767958349097231,526934000,898810747,228646388,181026465,2024-08-07 05:11:39.452732,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-4_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,train,5,0.2695900484216991,0.7307099225149879,441504514,809863703,270030995,191138388,2024-08-07 07:18:53.315210,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-4_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,test,5,0.2234067777837852,0.7771082744330245,497506237,928811967,258074151,151025245,2024-08-07 07:18:53.315275,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-4_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,train,6,0.25182965387131584,0.7483804192094826,483478359,798151248,225620877,205287116,2024-08-07 09:25:22.853011,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-4_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,test,6,0.21655853745619846,0.7839026589916096,563948164,874840573,191632224,204996639,2024-08-07 09:25:22.853076,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
