model,augmentation,phase,epoch,loss,accuracy,TP,TN,FP,FN,date,transformations
ORCA__Size-640x640_Epoch-1_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,train,1,0.19684479212180347,0.675128431048756,438555613,717627210,270410359,285944418,2024-08-26 01:28:33.560676,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-1_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,test,1,0.1866190270511394,0.71343472787882,400680326,908770330,354900062,171066882,2024-08-26 01:28:33.560790,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-2_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,train,2,0.18702756200467777,0.6999742113691405,490755547,707976609,220031172,293774272,2024-08-26 03:36:03.203274,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-2_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,test,2,0.19300727367806822,0.6965282685531635,365544856,912875387,390035532,166961825,2024-08-26 03:36:03.203345,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-3_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,train,3,0.17967172686448973,0.7177670574940962,502567211,726635863,206919012,276415514,2024-08-26 05:43:13.980856,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-3_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,test,3,0.1719484260990381,0.7376454056014293,388759750,965127610,366820638,114709602,2024-08-26 05:43:13.980925,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-4_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,train,4,0.1674484410727496,0.7443492259673602,511207479,763518558,199160818,238650745,2024-08-26 07:50:15.342209,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-4_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,test,4,0.147057394590208,0.7855342947566799,529042083,912741387,226538305,167095825,2024-08-26 07:50:15.342292,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-5_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,train,5,0.15534006633823197,0.7689189703046535,526191092,790611556,183037314,212697638,2024-08-26 09:56:52.657899,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-5_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,test,5,0.13838794599296564,0.8018762340515871,538377404,933400349,217202984,146436863,2024-08-26 09:56:52.657966,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
