model,augmentation,phase,epoch,loss,accuracy,TP,TN,FP,FN,date,transformations
OCDC__Size-640x640_Epoch-1_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,1,0.4043644727185546,0.831765997023809,29386665,256794071,36412979,21470285,2024-09-06 17:13:51.936259,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-1_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,1,0.5207272822968662,0.851740247938368,0,62797105,10930895,0,2024-09-06 17:13:51.936330,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-2_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,2,0.46488058908088575,0.8081705409458699,3284,278059105,65715039,286572,2024-09-06 17:33:53.246825,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-2_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,2,0.479882582070099,0.8517372097439235,0,62796881,10930895,224,2024-09-06 17:33:53.246890,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-3_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,3,0.45358317099467277,0.7993698672340024,4574954,270459440,60804533,8225073,2024-09-06 17:53:50.103519,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-3_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,3,0.5083190004030863,0.851740247938368,0,62797105,10930895,0,2024-09-06 17:53:50.103584,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-4_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,4,0.46154914608313924,0.8075937122163322,1094,277862829,65980311,219766,2024-09-06 18:13:37.736315,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-4_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,4,0.43734759512460897,0.851740247938368,0,62797105,10930895,0,2024-09-06 18:13:37.736380,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-5_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,5,0.45625193107518414,0.8074959600539435,2594253,275236037,63347426,2886284,2024-09-06 18:33:42.550906,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-5_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,5,0.511041326344841,0.851740247938368,0,62797105,10930895,0,2024-09-06 18:33:42.550976,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-6_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,6,0.4573692980399799,0.8066084362211678,5869452,271655473,60098207,6440868,2024-09-06 18:53:38.801379,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-6_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,6,0.4906517820432782,0.851740247938368,0,62797105,10930895,0,2024-09-06 18:53:38.801446,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-7_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,7,0.4452241405223807,0.806988586425781,1972287,275683434,63793298,2614981,2024-09-06 19:13:33.440703,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-7_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,7,0.4368433828983042,0.851740247938368,0,62797105,10930895,0,2024-09-06 19:13:33.440771,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-8_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,8,0.45135938787744156,0.8077018636067708,2350490,275550644,63629617,2533249,2024-09-06 19:33:34.301318,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
