model,augmentation,phase,epoch,loss,accuracy,TP,TN,FP,FN,date,time,transformations
OCDC__Size-640x640_Epoch-1_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,1,2.806765081865041,0.7880753231956834,36702489,234445859,29097155,43818497,2024-10-12 11:29:06.610338,900.9331691265106,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-1_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,1,0.695114837709515,0.82168268500434,1237061,59343960,9693834,3453145,2024-10-12 11:29:06.610368,900.9331691265106,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-2_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,2,0.583578070098537,0.8051946353004106,27360804,249677683,37606933,29418580,2024-10-12 11:47:54.300131,2028.6229622364044,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-2_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,2,0.49810380821646605,0.8504661729600695,11317,62691853,10919578,105252,2024-10-12 11:47:54.300162,2028.6229622364044,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-3_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,3,0.5147695966395466,0.8029754260835185,22218086,254056851,43431088,24357975,2024-10-12 12:06:36.579754,3150.9025835990906,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-3_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,3,0.46971244857187333,0.8513208550347222,5572,62760612,10925323,36493,2024-10-12 12:06:36.579784,3150.9025835990906,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-4_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,4,0.4748266430207184,0.8109960646856404,21095650,257938900,44896578,20132872,2024-10-12 12:25:30.524771,4284.8476021289825,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-4_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,4,0.44284713411988275,0.8512909071180551,2074,62761902,10928821,35203,2024-10-12 12:25:30.524801,4284.8476021289825,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-5_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,5,0.44786108052028883,0.8095435500372022,17550371,260984421,47828126,17701082,2024-10-12 12:44:24.628190,5418.9510197639465,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-5_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,5,0.4372625396043683,0.8515549723307291,912,62782533,10929983,14572,2024-10-12 12:44:24.628220,5418.9510197639465,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-6_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,6,0.4263025202724661,0.815848147437685,19032272,261671705,47334822,16025201,2024-10-12 13:03:21.027459,6555.350289821625,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-6_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,6,0.3991374469232849,0.851692613389757,181,62793412,10930714,3693,2024-10-12 13:03:21.027489,6555.350289821625,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-7_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,7,0.42263273828658776,0.8114668898809542,15245866,263950678,50367697,14499759,2024-10-12 13:22:06.427475,7680.7503054142,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-7_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,7,0.3910335375241832,0.8516574164496528,456,62790542,10930439,6563,2024-10-12 13:22:06.427507,7680.7503054142,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-8_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,8,0.40854643889456166,0.8181876598539821,18620669,262888250,46839155,15715926,2024-10-12 13:40:57.671641,8811.994470119476,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-8_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,8,0.38132824109505037,0.8516478271484373,9733,62780558,10921162,16547,2024-10-12 13:40:57.671670,8811.994470119476,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-9_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,9,0.39340556850144087,0.8231965448288691,19691599,263540697,46022504,14809200,2024-10-12 13:59:43.356171,9937.679000377655,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-9_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,9,0.36890137838717135,0.8514573567708333,9098,62767150,10921797,29955,2024-10-12 13:59:43.356201,9937.679000377655,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-10_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,10,0.3866411294650918,0.8304588390531987,23704137,262026853,42169504,16163506,2024-10-12 14:18:37.887129,11072.209959745407,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-10_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,10,0.37814515805285837,0.8516906331380206,4514,62788933,10926381,8172,2024-10-12 14:18:37.887158,11072.209959745407,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-11_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,11,0.36997292463849935,0.8347255510602694,25513140,261685872,40376575,16488413,2024-10-12 14:37:24.144910,12198.467739343643,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-11_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,11,0.3744847678812221,0.8516236843532989,2150,62786361,10928745,10744,2024-10-12 14:37:24.144940,12198.467739343643,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-12_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,12,0.3421439781902049,0.8456953822544633,30234446,260738890,35680831,17409833,2024-10-12 14:56:16.024509,13330.347339391708,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-12_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,12,0.43668764611195204,0.8517436523437497,31869,62765487,10899026,31618,2024-10-12 14:56:16.024539,13330.347339391708,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-13_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,13,0.3414113437790907,0.8475473342168894,32678676,258931850,33457783,18995691,2024-10-12 15:15:02.223060,14456.545890331268,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-13_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,13,0.3933589757523906,0.8518256293402776,42641,62760759,10888254,36346,2024-10-12 15:15:02.223091,14456.545890331268,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-14_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,14,0.3458466102673854,0.8446504690987735,29957663,260656156,36109493,17340688,2024-10-12 15:33:53.316588,15587.63941860199,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-14_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,14,0.35174625274327503,0.8533922390407985,180320,62738583,10750575,58522,2024-10-12 15:33:53.316618,15587.63941860199,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
