model,augmentation,phase,epoch,loss,accuracy,TP,TN,FP,FN,date,time,transformations
ORCA__Size-640x640_Epoch-1_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,1,0.40345919276341524,0.8191885877425417,558676404,844214854,150289568,159356774,2024-10-17 20:05:12.475366,6033.660599946976,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-1_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,test,1,0.3915462070846167,0.8255554267323133,666392017,848846943,89188371,230990269,2024-10-17 20:05:12.475398,6033.660599946976,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-2_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,2,0.38302414636622156,0.8269167625867038,564302645,851823403,147168639,149242913,2024-10-17 22:05:35.943626,13257.128859519958,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-2_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,test,2,0.35964549489276093,0.8385621975075325,626616780,912495036,128963608,167342176,2024-10-17 22:05:35.943659,13257.128859519958,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-3_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,3,0.3659116901765597,0.8353855395642126,573804605,856824542,137554582,144353871,2024-10-18 00:05:58.856754,20480.041985988617,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-3_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,test,3,0.353760184710598,0.8433861558263394,620184357,927781437,135396031,152055775,2024-10-18 00:05:58.856786,20480.041985988617,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-4_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,4,0.34579729751247845,0.8455499820850635,579805138,868230999,129155105,135346358,2024-10-18 02:06:08.280744,27689.46597623825,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-4_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,test,4,0.36297338274930024,0.8383625208780846,640753690,897991636,114826698,181845576,2024-10-18 02:06:08.280776,27689.46597623825,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-5_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,5,0.3306564584042974,0.8534261618547845,590029172,871495219,120277045,130736164,2024-10-18 04:06:21.307438,34902.492670059204,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-5_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,test,5,0.34647204908647294,0.8469383517952542,632366240,922119317,123214148,157717895,2024-10-18 04:06:21.307471,34902.492670059204,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-6_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,6,0.3247898629443536,0.85893004918549,594993441,875956564,115827855,125759740,2024-10-18 06:06:33.021976,42114.20720791817,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
